year,region,carbonate_type,property,value,unit
2006,World,calcite,def,0.43971,t/t
2006,World,magnesite,def,0.52197,t/t
2006,World,dolomite,def,0.47732,t/t
2006,World,siderite,def,0.37987,t/t
2006,World,ankerite,def,0.43,t/t
2006,World,rhodochrosite,def,0.38286,t/t
2006,World,sodium_carbonate,def,0.41492,t/t
2006,World,calcite,min,0.220,t/t
2006,World,magnesite,min,0.261,t/t
2006,World,dolomite,min,0.239,t/t
2006,World,siderite,min,0.190,t/t
2006,World,ankerite,min,0.215,t/t
2006,World,rhodochrosite,min,0.191,t/t
2006,World,sodium_carbonate,min,0.207,t/t
2006,World,calcite,max,0.660,t/t
2006,World,magnesite,max,0.783,t/t
2006,World,dolomite,max,0.716,t/t
2006,World,siderite,max,0.570,t/t
2006,World,ankerite,max,0.645,t/t
2006,World,rhodochrosite,max,0.574,t/t
2006,World,sodium_carbonate,max,0.622,t/t
2006,World,calcite,abs_min,0.0,t/t
2006,World,magnesite,abs_min,0.0,t/t
2006,World,dolomite,abs_min,0.0,t/t
2006,World,siderite,abs_min,0.0,t/t
2006,World,ankerite,abs_min,0.0,t/t
2006,World,rhodochrosite,abs_min,0.0,t/t
2006,World,sodium_carbonate,abs_min,0.0,t/t
2006,World,calcite,abs_max,1.0,t/t
2006,World,magnesite,abs_max,1.0,t/t
2006,World,dolomite,abs_max,1.0,t/t
2006,World,siderite,abs_max,1.0,t/t
2006,World,ankerite,abs_max,1.0,t/t
2006,World,rhodochrosite,abs_max,1.0,t/t
2006,World,sodium_carbonate,abs_max,1.0,t/t