climate_zone,moisture_regime,soil_type,property,value,unit
boreal,undefined,HAC,def,68.0,t/ha
temperate-cool,dry,HAC,def,50.0,t/ha
temperate-cool,moist,HAC,def,95.0,t/ha
temperate-warm,dry,HAC,def,38.0,t/ha
temperate-warm,moist,HAC,def,88.0,t/ha
temperate-warm,wet,HAC,def,88.0,t/ha
tropical,dry,HAC,def,38.0,t/ha
tropical,moist,HAC,def,65.0,t/ha
tropical,wet,HAC,def,44.0,t/ha
tropical-montane,undefined,HAC,def,88.0,t/ha
temperate-cool,dry,LAC,def,33.0,t/ha
temperate-cool,moist,LAC,def,85.0,t/ha
temperate-warm,dry,LAC,def,24.0,t/ha
temperate-warm,moist,LAC,def,63.0,t/ha
temperate-warm,wet,LAC,def,63.0,t/ha
tropical,dry,LAC,def,35.0,t/ha
tropical,moist,LAC,def,47.0,t/ha
tropical,wet,LAC,def,60.0,t/ha
tropical-montane,undefined,LAC,def,63.0,t/ha
boreal,undefined,sandy,def,10.0,t/ha
temperate-cool,dry,sandy,def,34.0,t/ha
temperate-cool,moist,sandy,def,71.0,t/ha
temperate-warm,dry,sandy,def,19.0,t/ha
temperate-warm,moist,sandy,def,34.0,t/ha
temperate-warm,wet,sandy,def,34.0,t/ha
tropical,dry,sandy,def,31.0,t/ha
tropical,moist,sandy,def,39.0,t/ha
tropical,wet,sandy,def,66.0,t/ha
tropical-montane,undefined,sandy,def,34.0,t/ha
boreal,undefined,spodic,def,117.0,t/ha
temperate-cool,moist,spodic,def,115.0,t/ha
boreal,undefined,volcanic,def,20.0,t/ha
temperate-cool,dry,volcanic,def,20.0,t/ha
temperate-cool,moist,volcanic,def,130.0,t/ha
temperate-warm,dry,volcanic,def,70.0,t/ha
temperate-warm,moist,volcanic,def,80.0,t/ha
temperate-warm,wet,volcanic,def,80.0,t/ha
tropical,dry,volcanic,def,50.0,t/ha
tropical,moist,volcanic,def,70.0,t/ha
tropical,wet,volcanic,def,130.0,t/ha
tropical-montane,undefined,volcanic,def,80.0,t/ha
boreal,undefined,wetland,def,146.0,t/ha
temperate-cool,dry,wetland,def,87.0,t/ha
temperate-cool,moist,wetland,def,87.0,t/ha
temperate-warm,dry,wetland,def,88.0,t/ha
temperate-warm,moist,wetland,def,88.0,t/ha
temperate-warm,wet,wetland,def,88.0,t/ha
tropical,dry,wetland,def,86.0,t/ha
tropical,moist,wetland,def,86.0,t/ha
tropical,wet,wetland,def,86.0,t/ha
tropical-montane,undefined,wetland,def,86.0,t/ha
boreal,undefined,HAC,min,6.800,t/ha
temperate-cool,dry,HAC,min,5.000,t/ha
temperate-cool,moist,HAC,min,9.500,t/ha
temperate-warm,dry,HAC,min,3.800,t/ha
temperate-warm,moist,HAC,min,8.800,t/ha
temperate-warm,wet,HAC,min,8.800,t/ha
tropical,dry,HAC,min,3.800,t/ha
tropical,moist,HAC,min,6.500,t/ha
tropical,wet,HAC,min,4.400,t/ha
tropical-montane,undefined,HAC,min,8.800,t/ha
temperate-cool,dry,LAC,min,3.300,t/ha
temperate-cool,moist,LAC,min,8.500,t/ha
temperate-warm,dry,LAC,min,2.400,t/ha
temperate-warm,moist,LAC,min,6.300,t/ha
temperate-warm,wet,LAC,min,6.300,t/ha
tropical,dry,LAC,min,3.500,t/ha
tropical,moist,LAC,min,4.700,t/ha
tropical,wet,LAC,min,6.000,t/ha
tropical-montane,undefined,LAC,min,6.300,t/ha
boreal,undefined,sandy,min,1.000,t/ha
temperate-cool,dry,sandy,min,3.400,t/ha
temperate-cool,moist,sandy,min,7.100,t/ha
temperate-warm,dry,sandy,min,1.900,t/ha
temperate-warm,moist,sandy,min,3.400,t/ha
temperate-warm,wet,sandy,min,3.400,t/ha
tropical,dry,sandy,min,3.100,t/ha
tropical,moist,sandy,min,3.900,t/ha
tropical,wet,sandy,min,6.600,t/ha
tropical-montane,undefined,sandy,min,3.400,t/ha
boreal,undefined,spodic,min,11.700,t/ha
temperate-cool,moist,spodic,min,11.500,t/ha
boreal,undefined,volcanic,min,2.000,t/ha
temperate-cool,dry,volcanic,min,2.000,t/ha
temperate-cool,moist,volcanic,min,13.000,t/ha
temperate-warm,dry,volcanic,min,7.000,t/ha
temperate-warm,moist,volcanic,min,8.000,t/ha
temperate-warm,wet,volcanic,min,8.000,t/ha
tropical,dry,volcanic,min,5.000,t/ha
tropical,moist,volcanic,min,7.000,t/ha
tropical,wet,volcanic,min,13.000,t/ha
tropical-montane,undefined,volcanic,min,8.000,t/ha
boreal,undefined,wetland,min,14.600,t/ha
temperate-cool,dry,wetland,min,8.700,t/ha
temperate-cool,moist,wetland,min,8.700,t/ha
temperate-warm,dry,wetland,min,8.800,t/ha
temperate-warm,moist,wetland,min,8.800,t/ha
temperate-warm,wet,wetland,min,8.800,t/ha
tropical,dry,wetland,min,8.600,t/ha
tropical,moist,wetland,min,8.600,t/ha
tropical,wet,wetland,min,8.600,t/ha
tropical-montane,undefined,wetland,min,8.600,t/ha
boreal,undefined,HAC,max,129.200,t/ha
temperate-cool,dry,HAC,max,95.000,t/ha
temperate-cool,moist,HAC,max,180.500,t/ha
temperate-warm,dry,HAC,max,72.200,t/ha
temperate-warm,moist,HAC,max,167.200,t/ha
temperate-warm,wet,HAC,max,167.200,t/ha
tropical,dry,HAC,max,72.200,t/ha
tropical,moist,HAC,max,123.500,t/ha
tropical,wet,HAC,max,83.600,t/ha
tropical-montane,undefined,HAC,max,167.200,t/ha
temperate-cool,dry,LAC,max,62.700,t/ha
temperate-cool,moist,LAC,max,161.500,t/ha
temperate-warm,dry,LAC,max,45.600,t/ha
temperate-warm,moist,LAC,max,119.700,t/ha
temperate-warm,wet,LAC,max,119.700,t/ha
tropical,dry,LAC,max,66.500,t/ha
tropical,moist,LAC,max,89.300,t/ha
tropical,wet,LAC,max,114.000,t/ha
tropical-montane,undefined,LAC,max,119.700,t/ha
boreal,undefined,sandy,max,19.000,t/ha
temperate-cool,dry,sandy,max,64.600,t/ha
temperate-cool,moist,sandy,max,134.900,t/ha
temperate-warm,dry,sandy,max,36.100,t/ha
temperate-warm,moist,sandy,max,64.600,t/ha
temperate-warm,wet,sandy,max,64.600,t/ha
tropical,dry,sandy,max,58.900,t/ha
tropical,moist,sandy,max,74.100,t/ha
tropical,wet,sandy,max,125.400,t/ha
tropical-montane,undefined,sandy,max,64.600,t/ha
boreal,undefined,spodic,max,222.300,t/ha
temperate-cool,moist,spodic,max,218.500,t/ha
boreal,undefined,volcanic,max,38.000,t/ha
temperate-cool,dry,volcanic,max,38.000,t/ha
temperate-cool,moist,volcanic,max,247.000,t/ha
temperate-warm,dry,volcanic,max,133.000,t/ha
temperate-warm,moist,volcanic,max,152.000,t/ha
temperate-warm,wet,volcanic,max,152.000,t/ha
tropical,dry,volcanic,max,95.000,t/ha
tropical,moist,volcanic,max,133.000,t/ha
tropical,wet,volcanic,max,247.000,t/ha
tropical-montane,undefined,volcanic,max,152.000,t/ha
boreal,undefined,wetland,max,277.400,t/ha
temperate-cool,dry,wetland,max,165.300,t/ha
temperate-cool,moist,wetland,max,165.300,t/ha
temperate-warm,dry,wetland,max,167.200,t/ha
temperate-warm,moist,wetland,max,167.200,t/ha
temperate-warm,wet,wetland,max,167.200,t/ha
tropical,dry,wetland,max,163.400,t/ha
tropical,moist,wetland,max,163.400,t/ha
tropical,wet,wetland,max,163.400,t/ha
tropical-montane,undefined,wetland,max,163.400,t/ha
boreal,undefined,HAC,abs_min,0.0,t/ha
temperate-cool,dry,HAC,abs_min,0.0,t/ha
temperate-cool,moist,HAC,abs_min,0.0,t/ha
temperate-warm,dry,HAC,abs_min,0.0,t/ha
temperate-warm,moist,HAC,abs_min,0.0,t/ha
temperate-warm,wet,HAC,abs_min,0.0,t/ha
tropical,dry,HAC,abs_min,0.0,t/ha
tropical,moist,HAC,abs_min,0.0,t/ha
tropical,wet,HAC,abs_min,0.0,t/ha
tropical-montane,undefined,HAC,abs_min,0.0,t/ha
temperate-cool,dry,LAC,abs_min,0.0,t/ha
temperate-cool,moist,LAC,abs_min,0.0,t/ha
temperate-warm,dry,LAC,abs_min,0.0,t/ha
temperate-warm,moist,LAC,abs_min,0.0,t/ha
temperate-warm,wet,LAC,abs_min,0.0,t/ha
tropical,dry,LAC,abs_min,0.0,t/ha
tropical,moist,LAC,abs_min,0.0,t/ha
tropical,wet,LAC,abs_min,0.0,t/ha
tropical-montane,undefined,LAC,abs_min,0.0,t/ha
boreal,undefined,sandy,abs_min,0.0,t/ha
temperate-cool,dry,sandy,abs_min,0.0,t/ha
temperate-cool,moist,sandy,abs_min,0.0,t/ha
temperate-warm,dry,sandy,abs_min,0.0,t/ha
temperate-warm,moist,sandy,abs_min,0.0,t/ha
temperate-warm,wet,sandy,abs_min,0.0,t/ha
tropical,dry,sandy,abs_min,0.0,t/ha
tropical,moist,sandy,abs_min,0.0,t/ha
tropical,wet,sandy,abs_min,0.0,t/ha
tropical-montane,undefined,sandy,abs_min,0.0,t/ha
boreal,undefined,spodic,abs_min,0.0,t/ha
temperate-cool,moist,spodic,abs_min,0.0,t/ha
boreal,undefined,volcanic,abs_min,0.0,t/ha
temperate-cool,dry,volcanic,abs_min,0.0,t/ha
temperate-cool,moist,volcanic,abs_min,0.0,t/ha
temperate-warm,dry,volcanic,abs_min,0.0,t/ha
temperate-warm,moist,volcanic,abs_min,0.0,t/ha
temperate-warm,wet,volcanic,abs_min,0.0,t/ha
tropical,dry,volcanic,abs_min,0.0,t/ha
tropical,moist,volcanic,abs_min,0.0,t/ha
tropical,wet,volcanic,abs_min,0.0,t/ha
tropical-montane,undefined,volcanic,abs_min,0.0,t/ha
boreal,undefined,wetland,abs_min,0.0,t/ha
temperate-cool,dry,wetland,abs_min,0.0,t/ha
temperate-cool,moist,wetland,abs_min,0.0,t/ha
temperate-warm,dry,wetland,abs_min,0.0,t/ha
temperate-warm,moist,wetland,abs_min,0.0,t/ha
temperate-warm,wet,wetland,abs_min,0.0,t/ha
tropical,dry,wetland,abs_min,0.0,t/ha
tropical,moist,wetland,abs_min,0.0,t/ha
tropical,wet,wetland,abs_min,0.0,t/ha
tropical-montane,undefined,wetland,abs_min,0.0,t/ha
boreal,undefined,HAC,abs_max,inf,t/ha
temperate-cool,dry,HAC,abs_max,inf,t/ha
temperate-cool,moist,HAC,abs_max,inf,t/ha
temperate-warm,dry,HAC,abs_max,inf,t/ha
temperate-warm,moist,HAC,abs_max,inf,t/ha
temperate-warm,wet,HAC,abs_max,inf,t/ha
tropical,dry,HAC,abs_max,inf,t/ha
tropical,moist,HAC,abs_max,inf,t/ha
tropical,wet,HAC,abs_max,inf,t/ha
tropical-montane,undefined,HAC,abs_max,inf,t/ha
temperate-cool,dry,LAC,abs_max,inf,t/ha
temperate-cool,moist,LAC,abs_max,inf,t/ha
temperate-warm,dry,LAC,abs_max,inf,t/ha
temperate-warm,moist,LAC,abs_max,inf,t/ha
temperate-warm,wet,LAC,abs_max,inf,t/ha
tropical,dry,LAC,abs_max,inf,t/ha
tropical,moist,LAC,abs_max,inf,t/ha
tropical,wet,LAC,abs_max,inf,t/ha
tropical-montane,undefined,LAC,abs_max,inf,t/ha
boreal,undefined,sandy,abs_max,inf,t/ha
temperate-cool,dry,sandy,abs_max,inf,t/ha
temperate-cool,moist,sandy,abs_max,inf,t/ha
temperate-warm,dry,sandy,abs_max,inf,t/ha
temperate-warm,moist,sandy,abs_max,inf,t/ha
temperate-warm,wet,sandy,abs_max,inf,t/ha
tropical,dry,sandy,abs_max,inf,t/ha
tropical,moist,sandy,abs_max,inf,t/ha
tropical,wet,sandy,abs_max,inf,t/ha
tropical-montane,undefined,sandy,abs_max,inf,t/ha
boreal,undefined,spodic,abs_max,inf,t/ha
temperate-cool,moist,spodic,abs_max,inf,t/ha
boreal,undefined,volcanic,abs_max,inf,t/ha
temperate-cool,dry,volcanic,abs_max,inf,t/ha
temperate-cool,moist,volcanic,abs_max,inf,t/ha
temperate-warm,dry,volcanic,abs_max,inf,t/ha
temperate-warm,moist,volcanic,abs_max,inf,t/ha
temperate-warm,wet,volcanic,abs_max,inf,t/ha
tropical,dry,volcanic,abs_max,inf,t/ha
tropical,moist,volcanic,abs_max,inf,t/ha
tropical,wet,volcanic,abs_max,inf,t/ha
tropical-montane,undefined,volcanic,abs_max,inf,t/ha
boreal,undefined,wetland,abs_max,inf,t/ha
temperate-cool,dry,wetland,abs_max,inf,t/ha
temperate-cool,moist,wetland,abs_max,inf,t/ha
temperate-warm,dry,wetland,abs_max,inf,t/ha
temperate-warm,moist,wetland,abs_max,inf,t/ha
temperate-warm,wet,wetland,abs_max,inf,t/ha
tropical,dry,wetland,abs_max,inf,t/ha
tropical,moist,wetland,abs_max,inf,t/ha
tropical,wet,wetland,abs_max,inf,t/ha
tropical-montane,undefined,wetland,abs_max,inf,t/ha