region,waste_type,waste_moisture,property,value,unit
World,msw_paper,wet,def,0.4,kg/kg
World,msw_paper,wet,min,0.36,kg/kg
World,msw_paper,wet,max,0.45,kg/kg
World,msw_paper,dry,def,0.44,kg/kg
World,msw_paper,dry,min,0.4,kg/kg
World,msw_paper,dry,max,0.5,kg/kg
World,msw_textiles,wet,def,0.24,kg/kg
World,msw_textiles,wet,min,0.2,kg/kg
World,msw_textiles,wet,max,0.4,kg/kg
World,msw_textiles,dry,def,0.3,kg/kg
World,msw_textiles,dry,min,0.25,kg/kg
World,msw_textiles,dry,max,0.5,kg/kg
World,msw_food,wet,def,0.15,kg/kg
World,msw_food,wet,min,0.08,kg/kg
World,msw_food,wet,max,0.2,kg/kg
World,msw_food,dry,def,0.38,kg/kg
World,msw_food,dry,min,0.2,kg/kg
World,msw_food,dry,max,0.5,kg/kg
World,msw_wood,wet,def,0.43,kg/kg
World,msw_wood,wet,min,0.39,kg/kg
World,msw_wood,wet,max,0.46,kg/kg
World,msw_wood,dry,def,0.5,kg/kg
World,msw_wood,dry,min,0.46,kg/kg
World,msw_wood,dry,max,0.54,kg/kg
World,msw_garden,wet,def,0.2,kg/kg
World,msw_garden,wet,min,0.18,kg/kg
World,msw_garden,wet,max,0.22,kg/kg
World,msw_garden,dry,def,0.49,kg/kg
World,msw_garden,dry,min,0.45,kg/kg
World,msw_garden,dry,max,0.55,kg/kg
World,msw_nappies,wet,def,0.24,kg/kg
World,msw_nappies,wet,min,0.18,kg/kg
World,msw_nappies,wet,max,0.32,kg/kg
World,msw_nappies,dry,def,0.6,kg/kg
World,msw_nappies,dry,min,0.44,kg/kg
World,msw_nappies,dry,max,0.8,kg/kg
World,msw_rubber,wet,def,0,kg/kg
World,msw_rubber,wet,min,0,kg/kg
World,msw_rubber,wet,max,0,kg/kg
World,msw_rubber,dry,def,0,kg/kg
World,msw_rubber,dry,min,0,kg/kg
World,msw_rubber,dry,max,0,kg/kg
World,msw_plastics,wet,def,0,kg/kg
World,msw_plastics,wet,min,0,kg/kg
World,msw_plastics,wet,max,0,kg/kg
World,msw_plastics,dry,def,0,kg/kg
World,msw_plastics,dry,min,0,kg/kg
World,msw_plastics,dry,max,0,kg/kg
World,msw_metal,wet,def,0,kg/kg
World,msw_metal,wet,min,0,kg/kg
World,msw_metal,wet,max,0,kg/kg
World,msw_metal,dry,def,0,kg/kg
World,msw_metal,dry,min,0,kg/kg
World,msw_metal,dry,max,0,kg/kg
World,msw_glass,wet,def,0,kg/kg
World,msw_glass,wet,min,0,kg/kg
World,msw_glass,wet,max,0,kg/kg
World,msw_glass,dry,def,0,kg/kg
World,msw_glass,dry,min,0,kg/kg
World,msw_glass,dry,max,0,kg/kg
World,msw_other,wet,def,0,kg/kg
World,msw_other,wet,min,0,kg/kg
World,msw_other,wet,max,0,kg/kg
World,msw_other,dry,def,0,kg/kg
World,msw_other,dry,min,0,kg/kg
World,msw_other,dry,max,0,kg/kg
World,msw_paper,wet,abs_min,0,kg/kg
World,msw_paper,dry,abs_min,0,kg/kg
World,msw_textiles,wet,abs_min,0,kg/kg
World,msw_textiles,dry,abs_min,0,kg/kg
World,msw_food,wet,abs_min,0,kg/kg
World,msw_food,dry,abs_min,0,kg/kg
World,msw_wood,wet,abs_min,0,kg/kg
World,msw_wood,dry,abs_min,0,kg/kg
World,msw_garden,wet,abs_min,0,kg/kg
World,msw_garden,dry,abs_min,0,kg/kg
World,msw_nappies,wet,abs_min,0,kg/kg
World,msw_nappies,dry,abs_min,0,kg/kg
World,msw_rubber,wet,abs_min,0,kg/kg
World,msw_rubber,dry,abs_min,0,kg/kg
World,msw_plastics,wet,abs_min,0,kg/kg
World,msw_plastics,dry,abs_min,0,kg/kg
World,msw_metal,wet,abs_min,0,kg/kg
World,msw_metal,dry,abs_min,0,kg/kg
World,msw_glass,wet,abs_min,0,kg/kg
World,msw_glass,dry,abs_min,0,kg/kg
World,msw_other,wet,abs_min,0,kg/kg
World,msw_other,dry,abs_min,0,kg/kg
World,msw_paper,wet,abs_max,1,kg/kg
World,msw_paper,dry,abs_max,1,kg/kg
World,msw_textiles,wet,abs_max,1,kg/kg
World,msw_textiles,dry,abs_max,1,kg/kg
World,msw_food,wet,abs_max,1,kg/kg
World,msw_food,dry,abs_max,1,kg/kg
World,msw_wood,wet,abs_max,1,kg/kg
World,msw_wood,dry,abs_max,1,kg/kg
World,msw_garden,wet,abs_max,1,kg/kg
World,msw_garden,dry,abs_max,1,kg/kg
World,msw_nappies,wet,abs_max,1,kg/kg
World,msw_nappies,dry,abs_max,1,kg/kg
World,msw_rubber,wet,abs_max,1,kg/kg
World,msw_rubber,dry,abs_max,1,kg/kg
World,msw_plastics,wet,abs_max,1,kg/kg
World,msw_plastics,dry,abs_max,1,kg/kg
World,msw_metal,wet,abs_max,1,kg/kg
World,msw_metal,dry,abs_max,1,kg/kg
World,msw_glass,wet,abs_max,1,kg/kg
World,msw_glass,dry,abs_max,1,kg/kg
World,msw_other,wet,abs_max,1,kg/kg
World,msw_other,dry,abs_max,1,kg/kg
World,isw_food,wet,def,0.15,kg/kg
World,isw_textile,wet,def,0.24,kg/kg
World,isw_wood,wet,def,0.43,kg/kg
World,isw_paper,wet,def,0.4,kg/kg
World,isw_petroleum,wet,def,0,kg/kg
World,isw_rubber,wet,def,0,kg/kg
World,isw_construction,wet,def,0.04,kg/kg
World,isw_other,wet,def,0.01,kg/kg
World,isw_food,dry,def,0.375,kg/kg
World,isw_textile,dry,def,0.3,kg/kg
World,isw_wood,dry,def,0.505882353,kg/kg
World,isw_paper,dry,def,0.444444444,kg/kg
World,isw_petroleum,dry,def,0,kg/kg
World,isw_rubber,dry,def,0,kg/kg
World,isw_construction,dry,def,0.04,kg/kg
World,isw_other,dry,def,0.011111111,kg/kg
World,isw_food,wet,min,0.12,kg/kg
World,isw_textile,wet,min,0.192,kg/kg
World,isw_wood,wet,min,0.344,kg/kg
World,isw_paper,wet,min,0.32,kg/kg
World,isw_petroleum,wet,min,0,kg/kg
World,isw_rubber,wet,min,0,kg/kg
World,isw_construction,wet,min,0.032,kg/kg
World,isw_other,wet,min,0.008,kg/kg
World,isw_food,dry,min,0.3,kg/kg
World,isw_textile,dry,min,0.24,kg/kg
World,isw_wood,dry,min,0.404705882,kg/kg
World,isw_paper,dry,min,0.355555556,kg/kg
World,isw_petroleum,dry,min,0,kg/kg
World,isw_rubber,dry,min,0,kg/kg
World,isw_construction,dry,min,0.032,kg/kg
World,isw_other,dry,min,0.008888889,kg/kg
World,isw_food,wet,max,0.18,kg/kg
World,isw_textile,wet,max,0.288,kg/kg
World,isw_wood,wet,max,0.516,kg/kg
World,isw_paper,wet,max,0.48,kg/kg
World,isw_petroleum,wet,max,0,kg/kg
World,isw_rubber,wet,max,0,kg/kg
World,isw_construction,wet,max,0.048,kg/kg
World,isw_other,wet,max,0.012,kg/kg
World,isw_food,dry,max,0.45,kg/kg
World,isw_textile,dry,max,0.36,kg/kg
World,isw_wood,dry,max,0.607058824,kg/kg
World,isw_paper,dry,max,0.533333333,kg/kg
World,isw_petroleum,dry,max,0,kg/kg
World,isw_rubber,dry,max,0,kg/kg
World,isw_construction,dry,max,0.048,kg/kg
World,isw_other,dry,max,0.013333333,kg/kg
World,isw_food,wet,abs_min,0,kg/kg
World,isw_textile,wet,abs_min,0,kg/kg
World,isw_wood,wet,abs_min,0,kg/kg
World,isw_paper,wet,abs_min,0,kg/kg
World,isw_petroleum,wet,abs_min,0,kg/kg
World,isw_rubber,wet,abs_min,0,kg/kg
World,isw_construction,wet,abs_min,0,kg/kg
World,isw_other,wet,abs_min,0,kg/kg
World,isw_food,dry,abs_min,0,kg/kg
World,isw_textile,dry,abs_min,0,kg/kg
World,isw_wood,dry,abs_min,0,kg/kg
World,isw_paper,dry,abs_min,0,kg/kg
World,isw_petroleum,dry,abs_min,0,kg/kg
World,isw_rubber,dry,abs_min,0,kg/kg
World,isw_construction,dry,abs_min,0,kg/kg
World,isw_other,dry,abs_min,0,kg/kg
World,isw_food,wet,abs_max,1,kg/kg
World,isw_textile,wet,abs_max,1,kg/kg
World,isw_wood,wet,abs_max,1,kg/kg
World,isw_paper,wet,abs_max,1,kg/kg
World,isw_petroleum,wet,abs_max,1,kg/kg
World,isw_rubber,wet,abs_max,1,kg/kg
World,isw_construction,wet,abs_max,1,kg/kg
World,isw_other,wet,abs_max,1,kg/kg
World,isw_food,dry,abs_max,1,kg/kg
World,isw_textile,dry,abs_max,1,kg/kg
World,isw_wood,dry,abs_max,1,kg/kg
World,isw_paper,dry,abs_max,1,kg/kg
World,isw_petroleum,dry,abs_max,1,kg/kg
World,isw_rubber,dry,abs_max,1,kg/kg
World,isw_construction,dry,abs_max,1,kg/kg
World,isw_other,dry,abs_max,1,kg/kg
World,ow_hazard,wet,def,0,kg/kg
World,ow_clinical,wet,def,0.15,kg/kg
World,ow_hazard,dry,def,0,kg/kg
World,ow_clinical,dry,def,0.230769231,kg/kg
World,ow_hazard,wet,min,0,kg/kg
World,ow_clinical,wet,min,0.12,kg/kg
World,ow_hazard,dry,min,0,kg/kg
World,ow_clinical,dry,min,0.184615385,kg/kg
World,ow_hazard,wet,max,0,kg/kg
World,ow_clinical,wet,max,0.18,kg/kg
World,ow_hazard,dry,max,0,kg/kg
World,ow_clinical,dry,max,0.276923077,kg/kg
World,ow_hazard,wet,abs_min,0,kg/kg
World,ow_clinical,wet,abs_min,0,kg/kg
World,ow_hazard,dry,abs_min,0,kg/kg
World,ow_clinical,dry,abs_min,0,kg/kg
World,ow_hazard,wet,abs_max,1,kg/kg
World,ow_clinical,wet,abs_max,1,kg/kg
World,ow_hazard,dry,abs_max,1,kg/kg
World,ow_clinical,dry,abs_max,1,kg/kg
World,sludge_dom,wet,def,0.05,kg/kg
World,sludge_dom,dry,def,0.5,kg/kg
World,sludge_ind,wet,def,0.09,kg/kg
World,sludge_ind,dry,def,0.257142857,kg/kg
World,sludge_dom,wet,min,0.04,kg/kg
World,sludge_dom,dry,min,0.4,kg/kg
World,sludge_ind,wet,min,0.072,kg/kg
World,sludge_ind,dry,min,0.205714286,kg/kg
World,sludge_dom,wet,max,0.05,kg/kg
World,sludge_dom,dry,max,0.5,kg/kg
World,sludge_ind,wet,max,0.108,kg/kg
World,sludge_ind,dry,max,0.308571429,kg/kg
World,sludge_dom,wet,abs_min,0,kg/kg
World,sludge_dom,dry,abs_min,0,kg/kg
World,sludge_ind,wet,abs_min,0,kg/kg
World,sludge_ind,dry,abs_min,0,kg/kg
World,sludge_dom,wet,abs_max,1,kg/kg
World,sludge_dom,dry,abs_max,1,kg/kg
World,sludge_ind,wet,abs_max,1,kg/kg
World,sludge_ind,dry,abs_max,1,kg/kg